** CONVERTED FROM M:\glab\tmp\demo_2010-07-30-15h06m47.edf using edfapi 3.0 Win32 Dec 19 2008 on Fri Jul 30 15:06:47 2010
** DATE: Fri Jul 30 14:28:14 2010
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v3.10 Jan  4 2007
** CAMERA: EyeLink CL Board=0.3 Sensor=BID
** SERIAL NUMBER: CL1-6CA02
** CAMERA_CONFIG: 6CA02140.scd
**

MSG	12641994 DISPLAY_COORDS 0 0 799 599
MSG	12642044 RECCFG CR 1000 2 1 R
MSG	12642044 GAZE_COORDS 0.00 0.00 799.00 599.00
MSG	12642044 THRESHOLDS R 68 211
MSG	12642044 ELCL_PROC CENTROID (3)
MSG	12642044 ELCL_PCR_PARAM 5 3.0
START	12642045 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	12642045 !MODE RECORD CR 1000 2 1 R
12642045	  406.3	  409.3	 3152.0	...
12642046	  405.7	  411.2	 3152.0	...
12642047	  406.8	  410.3	 3151.0	...
12642048	  407.8	  409.4	 3148.0	...
12642049	  411.3	  408.9	 3145.0	...
12642050	  411.0	  410.0	 3113.0	...
12642051	  410.7	  411.1	 3080.0	...
12642052	  408.4	  412.7	 3104.0	...
12642053	  407.9	  412.9	 3129.0	...
SFIX R   12642054
12642054	  407.5	  410.5	 3160.0	...
12642055	  409.0	  408.1	 3163.0	...
12642056	  408.1	  410.0	 3165.0	...
12642057	  407.2	  408.9	 3185.0	...
12642058	  403.8	  407.9	 3204.0	...
12642059	  404.4	  406.5	 3206.0	...
12642060	  402.7	  410.9	 3205.0	...
12642061	  400.9	  412.3	 3216.0	...
12642062	  401.2	  412.0	 3227.0	...
12642063	  401.4	  411.8	 3223.0	...
12642064	  400.5	  412.1	 3227.0	...
12642065	  399.6	  410.7	 3230.0	...
12642066	  399.4	  409.3	 3242.0	...
12642067	  399.3	  408.4	 3246.0	...
12642068	  399.0	  408.6	 3249.0	...
12642069	  398.7	  408.8	 3253.0	...
12642070	  399.0	  408.8	 3242.0	...
12642071	  399.3	  407.9	 3230.0	...
12642072	  400.2	  407.0	 3146.0	...
12642073	  400.4	  404.3	 3173.0	...
12642074	  399.1	  403.0	 3180.0	...
12642075	  399.2	  407.0	 3178.0	...
12642076	  399.2	  407.4	 3200.0	...
12642077	  399.4	  406.1	 3222.0	...
12642078	  399.5	  406.6	 3203.0	...
12642079	  400.1	  407.2	 3185.0	...
12642080	  399.5	  407.2	 3185.0	...
12642081	  401.2	  409.5	 3184.0	...
12642082	  402.9	  411.9	 3154.0	...
12642083	  403.8	  411.5	 3156.0	...
12642084	  403.3	  411.3	 3133.0	...
12642085	  404.5	  405.9	 3111.0	...
12642086	  402.7	  408.2	 3104.0	...
12642087	  402.5	  408.7	 3097.0	...
